"zip5","pm2.5_mean"
"10028",12.15
"11427",10.63
"11697",9.09
"11004",10.51
"10282",10.76
"10027",12.24
"11432",10.24
"10452",11.6
"10469",11.08
"11225",11.38
"11207",11.26
"11423",10.66
"10280",10.89
"10465",10.75
"11201",11.4
"10009",11.28
"11358",9.57
"10455",12.02
"10310",9.62
"10177",12.12
"10154",12.12
"11693",8.46
"11360",9.65
"11366",10.26
"10308",11.46
"11424",9.92
"11210",10.58
"11430",11.01
"10271",11.01
"10461",11.31
"10457",11.68
"11238",11.25
"11216",11.12
"11373",9.89
"10463",11.33
"11378",11.55
"10035",12.13
"10304",10.04
"10040",11.61
"11435",10.23
"10171",12.12
"11418",10.49
"11372",10.21
"10303",10.32
"10039",11.9
"11219",10.95
"10458",11.57
"11375",9.94
"11211",11.51
"10470",11.2
"10472",11.54
"11415",10.12
"11104",11.89
"10037",12.06
"11217",11.1
"11228",11.52
"10029",12.49
"11368",10.02
"11367",9.76
"10004",10.92
"11206",11.54
"10007",10.84
"10456",11.67
"11417",10.52
"11416",10.67
"11374",9.88
"11428",10.69
"11355",9.92
"10025",12.58
"11103",11.3
"11414",10.55
"11419",10.4
"10019",12.14
"10111",12.13
"11385",11.64
"11232",11.41
"10003",11.27
"10016",11.92
"10152",12.12
"10153",12.14
"11364",10.31
"10020",12.14
"10115",12.13
"10311",11.08
"11203",11.13
"10454",12.04
"11422",10.71
"11229",10.87
"10168",12.12
"11106",11.66
"11101",12.22
"10279",10.88
"11231",11.29
"10459",11.77
"11363",9.77
"11692",8.87
"11359",9.97
"11005",10.42
"10167",12.12
"10169",12.12
"10103",12.14
"10112",12.11
"11236",10.87
"11212",11.24
"11249",11.49
"11356",10.38
"10475",11.21
"11371",11.35
"10031",11.95
"11233",11.29
"10030",12.16
"10312",11.12
"11434",10.42
"11433",10.55
"10460",11.58
"11691",10.08
"11239",10.75
"10002",11.85
"10005",11.01
"10006",10.91
"11413",10.58
"10466",11.19
"10013",11.16
"10451",11.81
"10014",11.12
"11361",9.65
"11102",11.6
"10001",11.28
"11105",11.75
"10173",12.11
"10170",12.12
"10174",12.12
"11357",9.82
"10453",11.68
"10468",11.44
"10301",9.71
"11215",11.62
"10128",12.44
"11213",11.1
"10467",11.32
"11223",11.01
"11412",10.56
"11429",10.69
"11226",11.2
"10038",11.13
"11222",11.84
"11377",11.11
"10462",11.54
"10309",10.78
"10069",12.23
"10474",11.83
"10119",11.4
"10199",11.43
"10036",11.9
"10110",12.03
"10065",12.17
"11694",9.25
"11362",10.05
"10307",10.53
"10314",10.83
"10306",11.26
"10032",11.55
"10302",9.38
"10024",12.44
"11420",10.38
"11369",10.52
"11411",10.36
"10026",12.41
"10033",11.65
"11221",11.55
"11214",11.45
"10034",11.36
"11205",11.5
"10044",12.17
"11204",10.65
"10075",12.12
"11230",10.47
"11218",11.26
"10305",10.3
"11220",10.96
"11208",11.2
"10012",11.24
"11354",9.92
"10010",11.36
"10278",10.88
"10172",12.12
"10021",12.12
"10162",11.99
"10023",12.2
"10471",11.19
"11370",11.27
"11235",10.81
"11224",10.59
"11237",11.76
"11209",10.96
"10473",11.46
"10011",10.89
"11421",11.06
"11234",10.58
"11436",10.4
"11365",9.96
"10464",10.84
"10017",12.15
"10165",12.12
"10018",11.68
"10022",12.21
"11426",10.58
"11379",10.85
